Institution,School Name,Main,Classification,Longitude,Latitude,Physical Address,Oral Pills (contraception),Injectables,IUDs  (contraception),Implants (contraception),Female Sterilization (contraception),Male Sterilization (contraception),Male Medical Circumcision (MMC),TB,Maternal Health,Mental Health,Child Health,Oral health services,Rehabilitation Services,Minor Ailments,HIV Testing,HIV Treatment (ART),Oral PrEP,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester,Sexuality Transmitted Infections Screenings
University of Fort Hare,BHISHO,,University,27.42111,-32.85117,,,,,,,,,,,,,,,,,,,,,
University of Fort Hare,EAST LONDON CAMPUS,,University,27.9069,-33.236,,,,,,,,,,,,,,,,,,,,,
University of Fort Hare,MAIN CAMPUS - ALICE,Yes,University,26.83114,-34.7833,,,,,,,,,,,,,,,,,,,,,
Nelson Mandela Metropolitan University,BIRD STREET CAMPUS,,University,33.95152,-25.627,,,,,,,,,,,,,,,,,,,,,
Nelson Mandela Metropolitan University,GEORGE CAMPUS,,University,33.9752,-22.5312,,,,,,,,,,,,,,,,,,,,,
Nelson Mandela Metropolitan University,MISSIONVALE CAMPUS,,University,33.8741,-25.5524,,,,,,,,,,,,,,,,,,,,,
Nelson Mandela Metropolitan University,SECOND AVENUE CAMPUS,,University,33.9837,-25.6583,,,,,,,,,,,,,,,,,,,,,
Nelson Mandela Metropolitan University,SUMMERSTRAND CAMPUS NORTH,,University,33.98153,-25.6755,,,,,,,,,,,,,,,,,,,,,
Nelson Mandela Metropolitan University,SUMMERSTRAND CAMPUS SOUTH,Yes,University,33.053,-25.6731,,,,,,,,,,,,,,,,,,,,,
Rhodes University,GRAHAMSTOWN CAMPUS,Yes,University,26.5238,-33.30134,,,,,,,,,,,,,,,,,,,,,
University of South Africa (EC),East London,Yes,University,27.88137,-33.21,,,,,,,,,,,,,,,,,,,,,
University of South Africa (EC),Mbizana ,,University,30.184,-31.7112,,,,,,,,,,,,,,,,,,,,,
University of South Africa (EC),Mthatha,,University,28.7853,-31.5882,,,,,,,,,,,,,,,,,,,,,
