Facility Name,Longitude,Latitude,Organization Unit Rural_Urban_Semi,Organization Unit Type,Physical Address,Oral Pills (contraception),Injectables,IUDs (contraception),Implants (contraception),Female Sterilization (contraception),Male Sterilization (contraception),Male Medical Circumcision (MMC),TB,Maternal Health,Mental Health,Child Health,Oral health services,Rehabilitation Services,Minor Ailments,Sexually Transmitted Infections Screenings,HIV Testing,HIV Treatment (ART),Oral PrEP,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester
Clicks Beacon Bay Pharm,27.931326,-32.955331,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Gonubie Pharm,27.994429,-32.936298,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Hemingways Pharm,27.897623,-32.970537,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks KWT Pharm,27.38554,-32.873135,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Oxford Str Pharm,27.904808,-33.017151,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Vincent Park Pharm,27.90379,-32.9837,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Nonesi Mall Pharm,26.871993,-31.900675,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Despatch Pharm,25.47058,-33.80007,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Penford Pharm,25.407683,-33.75933,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Uitenhage Pharm,25.398165,-33.767246,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Cleary Park Pharm,25.528506,-33.894462,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Greenacres Pharm,25.577649,-33.948682,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Humewood Pharm,25.63219,-33.971147,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Moffet Ret Pharm,25.554574,-33.955474,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks New Brighton Pharm,25.562972,-33.88502,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Sunridge Pharm,25.52668,-33.951723,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Walker Drive Pharm,25.502305,-33.958546,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Walmer Pharm,25.59667,-33.97955,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Mthatha Plaza Phar,28.78755,-31.594288,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Gr Reinet Pharm,22.937506,-30.559482,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Fountains Pharm,24.897359,-34.031666,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Grahamstown Pharm,26.527781,-33.309903,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Port Alfred Pharm,26.861255,-33.600555,Peri-Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Sasolburg Pharm,27.825999,-26.818839,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Kroonstad Pharm,27.23312,-27.6632,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks N Kroonstad Pharm,27.23312,-27.6632,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Goldfields Pharm,26.73586,-27.976833,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Liberty Cnt Pharm,30.378082,-29.582634,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Bayswater Pharm,26.229231,-29.089109,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Blm Fleur Pharm,26.191248,-29.157737,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
