Facility Name,Longitude,Latitude,Organization Unit Rural_Urban_Semi,Organization Unit Type,Oral Pills (contraception) ,Injectables,IUDs  (contraception) ,Implants (contraception)  ,Female Sterilization (contraception) ,Male Sterilization (contraception) ,Male Medical Circumcision (MMC),TB ,Maternal Health,Mental Health,  Oral health services ,Rehabilitation Services,Minor Ailments,Sexually Transmitted Infections Screenings,HIV Testing ,HIV Treatment (ART) ,Oral PrEP ,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester,AYFS Accredited,CCMDD Pick Up Point,Physical Address
Paballong Clinic,28.50627,-30.4205,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ethembeni Clinic,27.43183,-32.7628,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Frankfort Clinic,27.45267,-32.7202,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Masincedane Clinic,27.11363,-32.6859,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mooiplaas Clinic,28.05406,-32.7376,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Glenmore Clinic,26.85843,-33.1426,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Balfour Clinic,26.68213,-32.5457,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
War Memorial Clinic,26.83078,-32.7928,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Greenfields Clinic,27.86405,-33.0352,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Vaalbank Clinic,26.92519,-31.6083,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Rocklands Clinic,26.47956,-32.0168,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Sterkstroom Clinic,26.55336,-31.5531,Peri-Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Middelburg Mobile 1,25.00971,-31.4963,Peri-Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Middelburg Mobile 2,25.00971,-31.4963,Peri-Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Middelburg Mobile 3,25.00971,-31.4963,Peri-Urban,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Empilisweni Clinic,28.23954,-31.1936,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Hlomendlini Clinic,27.2632,-30.5858,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Hilton Clinic,26.70189,-30.6971,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Poly Clinic,26.70762,-30.6929,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
St Francis Hospital,26.69921,-30.6887,Urban,District Hospital,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Silvertown Clinic,25.40224,-33.8265,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Thembalesizwe Clinic,24.05254,-32.4727,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Tayler Bequest Hospital (Matatiele),28.80195,-30.3327,Urban,District Hospital,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Woodlands Clinic,24.16501,-34.0031,Peri-Urban,Clinic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Not Registered,
Bergsig Clinic,25.44973,-33.3873,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Frankfort Clinic,28.49248,-27.2777,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Philani Clinic,28.5048,-27.2679,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Kgotso Clinic,27.66367,-27.5553,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Hilton Clinic,26.23833,-29.1073,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Registered,
Poly Clinic,26.245,-29.141,Rural,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Registered,
Klipfontein Clinic,26.98295,-29.5228,Peri-Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Nthabiseng Clinic,28.78217,-28.5908,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Paballong Clinic,28.77695,-28.5552,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Riverside Clinic,28.81295,-28.5437,Peri-Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ethembeni Clinic,24.99175,-29.3933,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Sead Clinic,28.39597,-26.3931,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Greenfields Clinic,28.128174,-26.3949,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mpumelelo Clinic,28.209,-25.9856,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Registered,
Claremont Clinic,27.95632,-26.1774,Urban,Clinic,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,,Not Registered,
Sinqobile Clinic,27.88512,-26.219,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Freedom Park Clinic,27.932366,-26.2939,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Kanana Clinic,28.60833,-25.7758,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
